Frage;Antwort;Text
1;-1;"<p><strong>Einkommen:</strong> Sie befinden sich im unteren Gehaltsbereich. Informationen zu tariflichen Mindestl&ouml;hnen, Zuschl&auml;gen und steuerlichen Freibetr&auml;gen k&ouml;nnen f&uuml;r Sie besonders relevant sein.</p>"
1;0;"<p><strong>Einkommen:</strong> Sie befinden sich im mittleren Gehaltsbereich. Themen wie faire Entlohnung, Arbeitszeit und betriebliche Altersvorsorge k&ouml;nnten f&uuml;r Sie interessant sein.</p>"
1;1;"<p><strong>Einkommen:</strong> Sie befinden sich im oberen Gehaltsbereich. Aspekte wie Progression bei der Einkommensteuer oder Regelungen f&uuml;r h&ouml;here Einkommen k&ouml;nnten f&uuml;r Sie relevant sein.</p>"
2;-1;"<p><strong>Fruchtfarbe:</strong> Sie bevorzugen offenbar keine gelbe Fruchtfarbe. Andere Farben und Sorten k&ouml;nnten f&uuml;r Sie interessanter sein.</p>"
2;0;"<p><strong>Fruchtfarbe:</strong> Die Fruchtfarbe ist Ihnen eher gleichg&uuml;ltig. Sie k&ouml;nnen sich frei zwischen verschiedenen Sorten entscheiden.</p>"
2;1;"<p><strong>Fruchtfarbe:</strong> Gelbe Fr&uuml;chte scheinen Ihnen besonders zu schmecken. Sorten wie Bananen oder Zitronen passen gut zu Ihrer Pr&auml;ferenz.</p>"
3;-1;"<p><strong>Fruchtform:</strong> Runde Fr&uuml;chte sind nicht Ihr Favorit. L&auml;ngliche oder ungew&ouml;hnliche Formen k&ouml;nnten eher Ihren Geschmack treffen.</p>"
3;0;"<p><strong>Fruchtform:</strong> Die Form spielt f&uuml;r Sie keine gro&szlig;e Rolle. Entscheidend sind vermutlich andere Eigenschaften wie Geschmack oder Frische.</p>"
3;1;"<p><strong>Fruchtform:</strong> Runde Fr&uuml;chte bevorzugen Sie. &Auml;pfel, Orangen oder Tomaten k&ouml;nnten gute Wahl sein.</p>"
4;-1;"<p><strong>Schale:</strong> Sie m&ouml;chten Fr&uuml;chte lieber ohne Schale essen. Gesch&auml;lte oder bereits vorbereitete Fr&uuml;chte sind f&uuml;r Sie praktischer.</p>"
4;0;"<p><strong>Schale:</strong> Ob mit oder ohne Schale ist Ihnen gleich. Beides ist f&uuml;r Sie in Ordnung.</p>"
4;1;"<p><strong>Schale:</strong> Sie essen Fr&uuml;chte gern mit Schale. Unbehandelte Bio-Fr&uuml;chte mit essbarer Schale passen gut zu Ihrer Haltung.</p>"
5;-1;"<p><strong>Spinat:</strong> Spinat ist nicht Ihr Lieblingsgem&uuml;se. Andere gr&uuml;ne Lebensmittel k&ouml;nnten Ihnen besser zusagen.</p>"
5;0;"<p><strong>Spinat:</strong> Zu Spinat haben Sie keine feste Meinung. Sie k&ouml;nnen ihn gelegentlich in den Speiseplan aufnehmen.</p>"
5;1;"<p><strong>Spinat:</strong> Spinat sch&auml;tzen Sie. Er liefert Eisen und passt gut in eine ausgewogene Ern&auml;hrung.</p>"
6;-1;"<p><strong>Reife:</strong> Fr&uuml;chte d&uuml;rfen f&uuml;r Sie auch vor der vollen Reife geerntet werden. Das kann Transport und Lagerung erleichtern.</p>"
6;0;"<p><strong>Reife:</strong> Der Reifezeitpunkt ist Ihnen egal. Hauptsache, der Geschmack stimmt f&uuml;r Sie.</p>"
6;1;"<p><strong>Reife:</strong> Fr&uuml;chte sollen f&uuml;r Sie voll ausgereift sein. Direkt von der Pflanze geerntetes Obst bevorzugen Sie.</p>"
7;-1;"<p><strong>S&uuml;&szlig;e:</strong> S&uuml;&szlig;e Fr&uuml;chte sind nicht Ihr Favorit. Herb-saure Sorten k&ouml;nnten Ihnen besser schmecken.</p>"
7;0;"<p><strong>S&uuml;&szlig;e:</strong> Der S&uuml;&szlig;egrad spielt f&uuml;r Sie keine zentrale Rolle.</p>"
7;1;"<p><strong>S&uuml;&szlig;e:</strong> S&uuml;&szlig;e Fr&uuml;chte bevorzugen Sie. Reife, zuckerreiche Sorten passen zu Ihrem Geschmack.</p>"
